,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164107.0,2386.0,0.0,0.9856690671679891,0.014330932832010956,0.0,,0.0,1.0,,
1,1.0,1665.0,388.0,1277.0,23.303303303303302,76.6966966966967,1665.0,388.0,1277.0,0.23643110897158562,53.52053646269908,53.28410535372749,0.3038371182458888,1277.0,163719.0,1109.0,388.0,0.9910086309934952,0.008991369006504778,0.0023643110897158563,0.3038371182458888,0.5352053646269908,0.9976356889102841,0.766966966966967,0.6304616144161935
2,2.0,1665.0,1567.0,98.0,94.11411411411412,5.885885885885884,3330.0,1955.0,1375.0,1.1912959227820874,57.627829002514666,56.43653307973258,1.4218181818181819,1375.0,162152.0,1011.0,1955.0,0.982185437225589,0.017814562774410937,0.011912959227820872,1.4218181818181819,0.5762782900251467,0.9880870407721791,0.41291291291291293,0.4811056682995102
3,3.0,1665.0,1629.0,36.0,97.83783783783784,2.1621621621621614,4995.0,3584.0,1411.0,2.1839409653457804,59.13663034367141,56.95268937832563,2.5400425230333097,1411.0,160523.0,975.0,3584.0,0.9726174674010318,0.027382532598968126,0.021839409653457806,2.5400425230333097,0.5913663034367141,0.9781605903465422,0.2824824824824825,0.3823330172063406
4,4.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,6660.0,5238.0,1422.0,3.1918199711164057,59.59765297569153,56.40583300457513,3.6835443037974684,1422.0,158869.0,964.0,5238.0,0.9627491846504057,0.03725081534959428,0.03191819971116406,3.6835443037974684,0.5959765297569153,0.968081800288836,0.21351351351351353,0.3143931019235021
5,5.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,8325.0,6890.0,1435.0,4.198480259830476,60.14249790444258,55.9440176446121,4.801393728222997,1435.0,157217.0,951.0,6890.0,0.9529049269338651,0.04709507306613491,0.04198480259830476,4.801393728222997,0.6014249790444258,0.9580151974016953,0.17237237237237238,0.26794883764354405
6,6.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,9990.0,8541.0,1449.0,5.20453119001627,60.7292539815591,55.52472279154283,5.894409937888199,1449.0,155566.0,937.0,8541.0,0.9430726817343672,0.05692731826563279,0.0520453119001627,5.894409937888199,0.607292539815591,0.9479546880998373,0.14504504504504503,0.2341628959276018
7,7.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,11655.0,10195.0,1460.0,6.212410195786895,61.190276613579215,54.97786641779232,6.982876712328767,1460.0,153912.0,926.0,10195.0,0.9332043989837411,0.06679560101625895,0.06212410195786895,6.982876712328767,0.6119027661357921,0.937875898042131,0.12526812526812528,0.2079623958407521
8,8.0,1664.0,1655.0,9.0,99.45913461538461,0.5408653846153868,13319.0,11850.0,1469.0,7.220898560085797,61.567476948868396,54.346578388782596,8.066712049012933,1469.0,152257.0,917.0,11850.0,0.9233180974575508,0.07668190254244923,0.07220898560085798,8.066712049012933,0.6156747694886839,0.927791014399142,0.11029356558300173,0.18707418019738936
9,9.0,1665.0,1660.0,5.0,99.69969969969969,0.3003003003003073,14984.0,13510.0,1474.0,8.232433717026087,61.77703269069573,53.544598973669636,9.165535956580733,1474.0,150597.0,912.0,13510.0,0.9133777396046681,0.08662226039533194,0.08232433717026087,9.165535956580733,0.6177703269069572,0.9176756628297391,0.09837159636946076,0.16971790443293033
10,10.0,1665.0,1646.0,19.0,98.85885885885885,1.1411411411411478,16649.0,15156.0,1493.0,9.235437854570494,62.57334450963956,53.33790665506907,10.151373074346953,1493.0,148951.0,893.0,15156.0,0.903605556990384,0.09639444300961603,0.09235437854570494,10.151373074346953,0.6257334450963956,0.9076456214542951,0.08967505555889242,0.1568689256632519
11,11.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,18314.0,16810.0,1504.0,10.24331686034112,63.03436714165968,52.79105028131856,11.17686170212766,1504.0,147297.0,882.0,16810.0,0.8937372742397578,0.10626272576024218,0.10243316860341119,11.17686170212766,0.6303436714165969,0.8975668313965888,0.08212296603691165,0.14531400966183575
12,12.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,19979.0,18465.0,1514.0,11.251805224640021,63.45347862531433,52.20167340067431,12.196169088507265,1514.0,145642.0,872.0,18465.0,0.8838569789720889,0.11614302102791109,0.11251805224640021,12.196169088507265,0.6345347862531433,0.8874819477535998,0.07577956854697432,0.13539011848871002
13,13.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,21644.0,20118.0,1526.0,12.259074871882369,63.956412405699915,51.697337533817546,13.18348623853211,1526.0,143989.0,860.0,20118.0,0.8740007087385055,0.12599929126149448,0.1225907487188237,13.18348623853211,0.6395641240569991,0.8774092512811763,0.0705045278137128,0.12700790678318769
14,14.0,1665.0,1659.0,6.0,99.63963963963964,0.36036036036036023,23309.0,21777.0,1532.0,13.270000670294381,64.20787929589271,50.93787862559833,14.214751958224543,1532.0,142330.0,854.0,21777.0,0.8640723634026656,0.13592763659733442,0.13270000670294382,14.214751958224543,0.6420787929589271,0.8672999932970562,0.0657256853575872,0.1192449892975287
15,15.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,24974.0,23428.0,1546.0,14.276051600480175,64.79463537300921,50.51858377252904,15.153945666235446,1546.0,140679.0,840.0,23428.0,0.8542401182031677,0.1457598817968323,0.14276051600480175,15.153945666235446,0.6479463537300922,0.8572394839951982,0.06190438055577801,0.11301169590643276
16,16.0,1665.0,1659.0,6.0,99.63963963963964,0.36036036036036023,26639.0,25087.0,1552.0,15.286977398892185,65.04610226320202,49.75912486430983,16.16430412371134,1552.0,139020.0,834.0,25087.0,0.8443117728673277,0.15568822713267225,0.15286977398892188,16.16430412371134,0.6504610226320201,0.8471302260110781,0.058260445211907354,0.10694229112833764
17,17.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,28304.0,26740.0,1564.0,16.294247046134533,65.54903604358759,49.25478899745306,17.097186700767264,1564.0,137367.0,822.0,26740.0,0.8344555026337444,0.16554449736625565,0.16294247046134533,17.097186700767264,0.6554903604358759,0.8370575295386546,0.05525720746184285,0.10192245030954708
18,18.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,29969.0,28393.0,1576.0,17.301516693376882,66.05196982397318,48.7504531305963,18.015862944162436,1576.0,135714.0,810.0,28393.0,0.824599232400161,0.17540076759983902,0.1730151669337688,18.015862944162436,0.6605196982397318,0.8269848330662312,0.05258767392972739,0.09741925513830937
19,19.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,31634.0,30050.0,1584.0,18.31122377473234,66.3872590108969,48.07603523616456,18.970959595959595,1584.0,134057.0,802.0,30050.0,0.8146949120984065,0.18530508790159347,0.18311223774732338,18.970959595959595,0.663872590108969,0.8168877622526766,0.050072706581526204,0.09312169312169313
20,20.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,33299.0,31704.0,1595.0,19.319102780502966,66.84828164291702,47.52917886241405,19.877115987460815,1595.0,132403.0,791.0,31704.0,0.8048266293477804,0.19517337065221962,0.19319102780502964,19.877115987460815,0.6684828164291702,0.8068089721949704,0.047899336316405895,0.0893933025080566
21,21.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,34964.0,33355.0,1609.0,20.32515371068876,67.43503772003353,47.109884009344775,20.730267246737103,1609.0,130752.0,777.0,33355.0,0.7949943841482825,0.20500561585171748,0.2032515371068876,20.730267246737103,0.6743503772003353,0.7967484628931124,0.0460187621553598,0.08615796519410977
22,22.0,1664.0,1658.0,6.0,99.63942307692308,0.3605769230769198,36628.0,35013.0,1615.0,21.335470150572494,67.68650461022632,46.35103445965383,21.679876160990712,1615.0,129094.0,771.0,35013.0,0.785072045070964,0.21492795492903605,0.21335470150572491,21.679876160990712,0.6768650461022632,0.7866452984942751,0.04409195151250409,0.0827907930486492
23,23.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,38293.0,36668.0,1625.0,22.343958514871396,68.10561609388097,45.76165757900957,22.564923076923076,1625.0,127439.0,761.0,36668.0,0.7751917498032951,0.22480825019670497,0.22343958514871395,22.564923076923076,0.6810561609388097,0.776560414851286,0.04243595435197033,0.0798938026991814
24,24.0,1665.0,1645.0,20.0,98.7987987987988,1.2012012012012008,39958.0,38313.0,1645.0,23.346353293887525,68.94383906119027,45.59748576730275,23.290577507598783,1645.0,125794.0,741.0,38313.0,0.7654315797060537,0.23456842029394628,0.23346353293887526,23.290577507598783,0.6894383906119028,0.7665364670611248,0.04116822663796987,0.07769695824674099
25,25.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,41623.0,39967.0,1656.0,24.35423229965815,69.40486169321039,45.05062939355224,24.13466183574879,1656.0,124140.0,730.0,39967.0,0.7555632969554276,0.24443670304457243,0.2435423229965815,24.13466183574879,0.694048616932104,0.7564576770034185,0.03978569540878841,0.07525733372719216
26,26.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,43288.0,41622.0,1666.0,25.362720663957052,69.82397317686505,44.461252512908004,24.983193277310924,1666.0,122485.0,720.0,41622.0,0.7456830016877587,0.25431699831224136,0.2536272066395705,24.983193277310924,0.6982397317686505,0.7463727933604295,0.03848641655886158,0.07295178876384814
27,27.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,44953.0,43280.0,1673.0,26.373037103840787,70.1173512154233,43.74431411158251,25.869695158398088,1673.0,120827.0,713.0,43280.0,0.7357666688689615,0.26423333113103853,0.26373037103840785,25.869695158398088,0.7011735121542331,0.7362696289615921,0.03721664849954397,0.07068167895392805
28,28.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,46618.0,44933.0,1685.0,27.380306751083136,70.62028499580889,43.23997824472575,26.66646884272997,1685.0,119174.0,701.0,44933.0,0.7259103986353781,0.27408960136462196,0.27380306751083133,26.66646884272997,0.7062028499580888,0.7261969324891686,0.036144836758333694,0.06876989633499307
29,29.0,1665.0,1661.0,4.0,99.75975975975976,0.24024024024024015,48283.0,46594.0,1689.0,28.3924512665517,70.78792958927075,42.39547832271904,27.58673771462404,1689.0,117513.0,697.0,46594.0,0.7159580282654526,0.28404197173454737,0.283924512665517,27.58673771462404,0.7078792958927075,0.716075487334483,0.03498125634281217,0.06666798239554758
30,30.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,49948.0,48248.0,1700.0,29.400330272322325,71.24895222129086,41.84862194896854,28.381176470588237,1700.0,115859.0,686.0,48248.0,0.7060897455148264,0.29391025448517355,0.2940033027232233,28.381176470588237,0.7124895222129086,0.7059966972767767,0.03403539681268519,0.06496732525700309
31,31.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,51613.0,49903.0,1710.0,30.40881863662123,71.66806370494551,41.259245068324276,29.183040935672516,1710.0,114204.0,676.0,49903.0,0.6962094502471575,0.3037905497528425,0.30408818636621227,29.183040935672516,0.7166806370494552,0.6959118136337877,0.03313118787902273,0.06333450619455916
32,32.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,53278.0,51559.0,1719.0,31.41791635944841,72.0452640402347,40.627347680786286,29.993600930773706,1719.0,112548.0,667.0,51559.0,0.6863171424624459,0.31368285753755415,0.3141791635944841,29.993600930773706,0.720452640402347,0.6858208364055159,0.03226472465182627,0.06176343776947398
33,33.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,54943.0,53216.0,1727.0,32.42762344080386,72.38055322715843,39.95292978635457,30.814128546612622,1727.0,110891.0,659.0,53216.0,0.6764128221606914,0.32358717783930857,0.32427623440803865,30.814128546612622,0.7238055322715843,0.6757237655919613,0.03143257557832663,0.06024873973032846
34,34.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,56608.0,54869.0,1739.0,33.434893088046216,72.883487007544,39.44859391949779,31.552041403105232,1739.0,109238.0,647.0,54869.0,0.666556551927108,0.33344344807289195,0.33434893088046214,31.552041403105232,0.7288348700754401,0.6656510691195379,0.030720039570378745,0.058955147981150625
35,35.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,58273.0,56520.0,1753.0,34.44094401823201,73.47024308466052,39.029299066428514,32.24187107815174,1753.0,107587.0,633.0,56520.0,0.6567243067276102,0.3432756932723898,0.34440944018232006,32.24187107815174,0.7347024308466052,0.6555905598176799,0.030082542515401645,0.05779851299889547
36,36.0,1664.0,1653.0,11.0,99.3389423076923,0.6610576923076934,59937.0,58173.0,1764.0,35.448213665474356,73.93126571668064,38.483052051206286,32.97789115646258,1764.0,105934.0,622.0,58173.0,0.6468620302355054,0.35313796976449463,0.35448213665474354,32.97789115646258,0.7393126571668064,0.6455178633452564,0.029430902447569948,0.05660831474736453
37,37.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,61602.0,59825.0,1777.0,36.45487395418843,74.47611064543169,38.02123669124326,33.66629150253236,1777.0,104282.0,609.0,59825.0,0.6370177725189647,0.36298222748103526,0.36454873954188427,33.66629150253236,0.7447611064543168,0.6354512604581157,0.028846466023830394,0.05554166406201163
38,38.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,63267.0,61481.0,1786.0,37.46397167701561,74.85331098072088,37.38933930370527,34.42385218365062,1786.0,102626.0,600.0,61481.0,0.6271254647342531,0.37287453526574693,0.37463971677015606,34.42385218365062,0.7485331098072087,0.6253602832298439,0.02822956675676103,0.05440726242517478
39,39.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,64932.0,63135.0,1797.0,38.47185068278623,75.314333612741,36.84248292995476,35.13355592654424,1797.0,100972.0,589.0,63135.0,0.6172571819836269,0.38274281801637305,0.3847185068278623,35.13355592654424,0.7531433361274099,0.6152814931721377,0.02767510626501571,0.053388395377165096
40,40.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,66597.0,64790.0,1807.0,39.48033904708513,75.73344509639564,36.25310604931051,35.85500830105147,1807.0,99317.0,579.0,64790.0,0.607376886715958,0.392623113284042,0.39480339047085133,35.85500830105147,0.7573344509639565,0.6051966095291487,0.02713335435530129,0.05238971920618123
41,41.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,68262.0,66448.0,1814.0,40.49065548696887,76.0268231349539,35.53616764798503,36.63065049614112,1814.0,97659.0,572.0,66448.0,0.5974605538971608,0.40253944610283915,0.4049065548696887,36.63065049614112,0.760268231349539,0.5950934451303114,0.026574082212651257,0.051353187634469485
42,42.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,69927.0,68102.0,1825.0,41.498534492739495,76.48784576697402,34.989311274234524,37.31616438356164,1825.0,96005.0,561.0,68102.0,0.5875922711465347,0.4124077288534653,0.4149853449273949,37.31616438356164,0.7648784576697402,0.5850146550726051,0.02609864573054757,0.05047501832312309
43,43.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,71592.0,69753.0,1839.0,42.50458542292529,77.07460184409052,34.570016421165235,37.92985318107667,1839.0,94354.0,547.0,69753.0,0.5777600259470368,0.4222399740529632,0.42504585422925284,37.92985318107667,0.7707460184409053,0.5749541457707471,0.02568722762319812,0.049717483576198325
44,44.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,73257.0,71410.0,1847.0,43.514292504280746,77.40989103101425,33.89559852673351,38.66269626421224,1847.0,92697.0,539.0,71410.0,0.5678557056452824,0.43214429435471763,0.43514292504280744,38.66269626421224,0.7740989103101426,0.5648570749571926,0.02521260766889171,0.04883465753605754
45,45.0,1665.0,1650.0,15.0,99.09909909909909,0.9009009009009077,74922.0,73060.0,1862.0,44.51973407593826,78.03855825649623,33.51882418055797,39.23737916219119,1862.0,91047.0,524.0,73060.0,0.5580354729628273,0.44196452703717276,0.4451973407593826,39.23737916219119,0.7803855825649623,0.5548026592406174,0.024852513280478362,0.04817095255342267
46,46.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,76587.0,74711.0,1876.0,45.52578500612405,78.62531433361274,33.09952932748868,39.82462686567164,1876.0,89396.0,510.0,74711.0,0.5482032277633294,0.4517967722366706,0.45525785006124053,39.82462686567164,0.7862531433361274,0.5447421499387595,0.024495018736861347,0.047509908449723325
47,47.0,1665.0,1661.0,4.0,99.75975975975976,0.24024024024024015,78252.0,76372.0,1880.0,46.537929521592616,78.79295892707461,32.25502940548199,40.62340425531915,1880.0,87735.0,506.0,76372.0,0.538250857393404,0.46174914260659605,0.4653792952159262,40.62340425531915,0.787929589270746,0.5346207047840738,0.02402494504932781,0.046628140578883405
48,48.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,79917.0,78026.0,1891.0,47.54580852736324,79.25398155909473,31.708173031731484,41.26176626123744,1891.0,86081.0,495.0,78026.0,0.5283825746427778,0.47161742535722223,0.4754580852736324,41.26176626123744,0.7925398155909472,0.5245419147263676,0.023662049376227838,0.04595215241242725
49,49.0,1665.0,1659.0,6.0,99.63963963963964,0.36036036036036023,81582.0,79685.0,1897.0,48.55673432577526,79.50544844928751,30.948714123512254,42.00579862941487,1897.0,84422.0,489.0,79685.0,0.5184542293069379,0.48154577069306215,0.4855673432577526,42.00579862941487,0.7950544844928751,0.5144326567422475,0.023252678286877007,0.04518387957317072
